userAlias,userLocation,formattedDateAndTime,voteCount,id,userIdentifier,hasProfilePicture,voteRating,dateCreated,message
Sandra Summerville,"Christchurch, New Zealand",5 minutes ago,5,1215249353,1694779515051671,False,-3,2023-11-20T13:01:37.724Z,"Many saying on these threats that she deserves to die in prison for this, maybe so. You may be right she can burn in hell for all I care"
Baggie17,"Lichfield, United Kingdom",5 minutes ago,7,1215249343,1561122418060291,False,7,2023-11-20T13:01:33.806Z,Their all at it.... Thousands of them if not millions of people dodging the tax man... Unfortunately for us we after pay through our employees... Would be nice not to pay tax for a couple of years that'll get the economy going...
OzzyOzzyOzzy,"London, United Kingdom",5 minutes ago,0,1215249307,1508351338013107,False,0,2023-11-20T13:01:21.945Z,So PwC and Ernst & Young don't come recommend then Shakira?!
Jamie R,"London, United Kingdom",6 minutes ago,7,1215249163,1387279881278601,False,1,2023-11-20T13:00:36.197Z,"She's worth 240m? How? You'd need to earn around 500m before tax to be worth that, and she's not that big of a star is she?"
SEW1974,"None, United States",6 minutes ago,5,1215249159,1681954497123722,False,5,2023-11-20T13:00:35.866Z,Lying governments win again because no one has enough money to fight them.
Itsmegaz,"Southend, United Kingdom",7 minutes ago,14,1215198593,1613227630880092,False,10,2023-11-20T13:00:04.497Z,It seems those hips do lie after all
Largey,"Nantymoel- On- Sea, United Kingdom",7 minutes ago,15,1215198537,4515027,False,15,2023-11-20T12:59:45.623Z,Pity they couldn't hammer the rich luvvies here that avoid paying tax. 
Juan Julio,"Boston, United States",7 minutes ago,20,1215198405,1531165730651611,False,-10,2023-11-20T12:59:13.999Z,Tax cheat and criminal Con Job Trump can relate !
Error code 404,"UK, United Kingdom",9 minutes ago,11,1215198107,6171354,True,3,2023-11-20T12:57:54.315Z,"Owe taxes, and you're a criminal. Come on boasts do as you like, and no laws are broken? "
ThembaThiza,"JOHANNESBURG, South Africa",9 minutes ago,7,1215198081,1608530006264412,False,5,2023-11-20T12:57:46.419Z,"this shows governments are after money and immoral.... if she evaded the taxes and was broke, she would be useless to the government and therefor  thrown in jail, but became she is still loaded, she can sweet-deal her way out of prison.... who would go to jail if they had the option? "
MrPotatobutt,"Quahog R. I., United States",9 minutes ago,9,1215198033,1663759298500822,False,5,2023-11-20T12:57:30.952Z,she is still attractive after all these years
dave1700,"Basingstoke, United Kingdom",10 minutes ago,18,1215197885,1618657162272342,False,12,2023-11-20T12:56:50.004Z,"If Shakira done the right thing and paid her dues,on time everytime.This wouldn't have  happened ,pure greed in every sense"
daffodil,"Wokingham, United Kingdom",8 minutes ago,4,1215198393,1395320277464571,False,4,2023-11-20T12:59:08.287Z,She will have had an accountant
bemused,"brighton, United Kingdom",10 minutes ago,23,1215197873,4204157,False,11,2023-11-20T12:56:47.783Z,How can someone so average be worth 240 million.
Jay Rocco,"nunya, United States",10 minutes ago,2,1215197849,1486264184663624,False,2,2023-11-20T12:56:39.925Z,How could they put such a pretty face in jail? Must be jealous.
CommonSenseSays,"TheSouthWest, United Kingdom",10 minutes ago,16,1215197845,1479589606176466,False,12,2023-11-20T12:56:38.358Z,I'm innocent but I'll pay 21.4 million anyway.. ok then.
Sempervivum,"Wayrest, United Kingdom",8 minutes ago,1,1215198177,1683281054480562,False,1,2023-11-20T12:58:17.272Z,But Andy was innocent as well as paying his 12 million surely?
Pseudonym........,"Mars, United Kingdom",10 minutes ago,11,1215197817,5375942,True,9,2023-11-20T12:56:27.103Z,She didn't seem too phased about having to pay out that amount of money.....take it she made a nice amount of  interest  on the money she should have paid.
Wickedworld,"St Helens, United Kingdom",11 minutes ago,18,1215197631,1492309744705104,False,10,2023-11-20T12:55:29.482Z,"So basically you can do what you want if you have enough money, even if you break the law you'll come out shinning. Lock her up or make her pay triple what she saved playing dodgy taxes. "
thehill,"Manchester, United Kingdom",11 minutes ago,17,1215197629,5016510,False,13,2023-11-20T12:55:28.811Z,"Moaning because of Spanish authorities pursuing her and high profile individuals, then pay what you owe you fiddling ......"
faible,"dublin, Ireland",11 minutes ago,4,1215197583,1389959184340492,False,4,2023-11-20T12:55:12.739Z,"just a scapegoat...where are all the prosecutions for the panama papers?...all high net worth individuals sports stars,celebritys etc etc fiddling the system ...no one held accountable as usual"
southener,"somewhere nice, United Kingdom",11 minutes ago,8,1215197573,1439111098455082,False,4,2023-11-20T12:55:10.836Z,"So that's why she's me hanging around Lewis Hamilton, hoping he'll pick up the bill."
mallypally4,"Fuseta, Palau",12 minutes ago,10,1215197539,1672162849672222,False,8,2023-11-20T12:54:59.734Z,"If innocent why would you pay millions,it's a joke"
Sue,"London, United Kingdom",12 minutes ago,11,1215197527,4122239,False,11,2023-11-20T12:54:55.779Z,Imagine having so much money to accrue such bills!  
Seaquinn,"HUDDERSFIELD, United Kingdom",12 minutes ago,9,1215197501,1531654541737662,False,9,2023-11-20T12:54:48.680Z,Pure Greed!!
bemused,"brighton, United Kingdom",12 minutes ago,12,1215197415,4204157,False,8,2023-11-20T12:54:20.044Z,"No one would pay 21.4 million just to avoid upsetting their kids, she probably tried to avoid it on the advice of her accountant but they always get you to sign it off so they shirk any responsibility when this happens,  when is enough ever enough."
Lee-,"Liverpool , United Kingdom",13 minutes ago,11,1215197313,1542661416363671,False,11,2023-11-20T12:53:51.745Z,The bills don't lie 
Franny boy,"Surbiton, United Kingdom",13 minutes ago,13,1215197271,1479478602772684,False,13,2023-11-20T12:53:40.974Z,I guess we can expect a new album coming out soon.
Terror of Death,"Kaer Morhen, United Kingdom",14 minutes ago,10,1215197135,1488486650220296,False,10,2023-11-20T12:52:55.854Z,Celebrity is overrated.
Curse,"North And South, United Kingdom",14 minutes ago,19,1215197119,1578317888516072,False,17,2023-11-20T12:52:51.629Z,Ahh... she sacrificed her innocence for her children...pull the other one. 
rufeto90,"JapanSleepUSA.Canada, United States",14 minutes ago,12,1215197057,1566153283191461,False,8,2023-11-20T12:52:27.150Z,I see why Pique left lol. He doesn't want any part of this.
Azbeaux,"Rochdale, United Kingdom",15 minutes ago,12,1215196999,1460365145978874,False,-6,2023-11-20T12:52:04.203Z,"World tour then?  Seriously, my heart goes out to her.  She has basically has had the rug pulled from under her feet what witht he breakup with her footballer partner who wanted a newer model.  Wish her luck.  "
Wickedworld,"St Helens, United Kingdom",9 minutes ago,1,1215197999,1492309744705104,False,1,2023-11-20T12:57:19.588Z,...she avoided paying taxes do you think regular little people get the option of paying a fine that's half the amount you'd manage to cheat your taxes on? No you'd be paying x3 the amount you cheated on and you'd be in prison. 
Fez. 5k1,"Madrid, Spain",15 minutes ago,23,1215196997,1610469978518812,False,21,2023-11-20T12:52:02.203Z,And a poor person would have gone to prison.
curtis89,"somewhere, United Kingdom",15 minutes ago,18,1215196935,4694337,False,18,2023-11-20T12:51:41.568Z,It amazes me how you can 'do a deal' with the tax man
BLOWN FUSE,"AYR, United Kingdom",15 minutes ago,8,1215196861,1689369897969211,False,8,2023-11-20T12:51:18.263Z,It would be nice to have her problems.
Arna,"Toronto, Canada",15 minutes ago,1,1215196859,1424973207719851,False,-1,2023-11-20T12:51:16.963Z,"Sorry in my first comment,, I meant there I want are two things in life one cannot escape Is death and taxes! "
nogginuserin,"LaLaLand, United States",15 minutes ago,8,1215196843,1428142954950342,False,8,2023-11-20T12:51:14.276Z,When will the rest of the Panama Papers' cheats get charged? Noone would have any politicians left!
Cate,Cardiff,16 minutes ago,15,1215196763,4177568,False,15,2023-11-20T12:50:51.223Z,Her hips may not lie...but her lips do for sure!!!
Lady Annabell,"London, United Kingdom",16 minutes ago,20,1215196645,1543098708315511,False,10,2023-11-20T12:50:08.955Z,"Pay your tax! Tax avoidance is criminal, should have been jailed. x"
onemanandhisdog,"out of this world, United Kingdom",17 minutes ago,18,1215196633,1406543194324963,False,14,2023-11-20T12:50:04.996Z,"The rich get away from ""Justice"" yet again while the rest of us have to comply with Justice and pay the price."
Harvey Finewine,"The Ganges, India",17 minutes ago,9,1215196589,1570780195432162,False,9,2023-11-20T12:49:50.707Z,"If you plan to dissemble on that scale, do a bit more research & find a country to accommodate you!"
Oh well....,"Wherever I imagine I am, United Kingdom",17 minutes ago,11,1215196575,1392115276838223,True,9,2023-11-20T12:49:47.196Z,Shameless. This`s the height of Hip`ocrisy . .
Rock..Freebase,"Gone from NYC, United States",17 minutes ago,3,1215196573,1634129123061011,False,3,2023-11-20T12:49:46.964Z,Gerard dodger a bullet there.
LG,New Jersey,17 minutes ago,8,1215196569,5328103,False,6,2023-11-20T12:49:45.414Z,"Geezus, that fine... that's crazy. I can't help but feel that her ex had something to do with alerting the authorities, etc...  does she have any money left? Why don't people just pay their taxes? Ugh"
Wickedworld,"St Helens, United Kingdom",8 minutes ago,0,1215198253,1492309744705104,False,0,2023-11-20T12:58:34.002Z,It was in the Panama papers.... seriously do you not know the story? How?
Londoness,"London, United Kingdom",17 minutes ago,14,1215196523,1578142138945622,False,-10,2023-11-20T12:49:26.204Z,Who cares when you're that gorgeous
Brewdogmeister,"Brizzle, United Kingdom",18 minutes ago,4,1215196477,1699359313792011,False,2,2023-11-20T12:49:08.566Z,Wait till the IRS come after her!
Spitimou,"Newcastle, United Kingdom",18 minutes ago,5,1215196441,1683233010250701,False,1,2023-11-20T12:48:52.365Z,What about her house in Cyprus ? Will that be confiscated ?
Marcia Marcia Marcia,"Brady, United States",18 minutes ago,15,1215196421,1479775205813526,False,11,2023-11-20T12:48:46.927Z,Yes they do.  She just basically bought her way out of jail.  
Rup22,"Perth, Australia",18 minutes ago,19,1215196417,1635993867726241,False,13,2023-11-20T12:48:46.223Z,Pay your taxes like everyone else! These people think they are exempt from everything !
jacklstringer99,"Houston, United States",18 minutes ago,7,1215196407,1620943371867842,False,5,2023-11-20T12:48:44.990Z,"Why would someone like her not have residency in monaco, switzerland, or somewhere other than spain, where they are LITERALLY governed by socialists"
Brewdogmeister,"Brizzle, United Kingdom",18 minutes ago,12,1215196353,1699359313792011,False,8,2023-11-20T12:48:29.844Z,Pique probably grassed her up NEVER trust a Spaniard!
Magnum_PI,"Southeastern, United States",19 minutes ago,10,1215196211,1633533470560111,False,6,2023-11-20T12:47:47.085Z,Not been a good year for her.
MontaniSemperLiberi,"Providenciales, Turks And Caicos Islands",19 minutes ago,15,1215196167,1643135724754131,False,1,2023-11-20T12:47:33.782Z,Socialists love to take your money.  Right Democrats?
rolf kitching,"gosport, United Kingdom",19 minutes ago,18,1215196165,3773837,False,14,2023-11-20T12:47:33.373Z,"If you don't want the grief or your energy time and tranquility drained for years to come perhaps you should pay all the taxes due instead of employing self declared financial experts who sell complex products designed to avoid paying taxes . The vast majority of your fans will pay all their taxes before they get paid they don't have the luxury of being able to negotiate a ""deal""  nor set up schemes to avoid paying their taxes . She may pay millions of pounds in taxes but when you still have three hundred million in the bank and millions more coming in every year you can expect a large tax bill . "
yankeewally,"Cardiff , United Kingdom",20 minutes ago,16,1215196111,1558184853922741,False,10,2023-11-20T12:47:07.777Z,"All that money, and she still can't afford a suit that fits! "
Brewdogmeister,"Brizzle, United Kingdom",20 minutes ago,13,1215196109,1699359313792011,False,11,2023-11-20T12:47:07.667Z,The hips don't lie just the ledger!
Oh well....,"Wherever I imagine I am, United Kingdom",20 minutes ago,17,1215196085,1392115276838223,True,15,2023-11-20T12:46:59.886Z,"Imagine being able to avoid a 3 year jail term, when you would probably only do half of that Anyway, by agreeing to pay 21+ million quid? I get a Parking fine and I`m struggling. How do I get to live on Their planet?"
Arna,"Toronto, Canada",20 minutes ago,5,1215196041,1424973207719851,False,1,2023-11-20T12:46:45.088Z,"Work hard for your money, and then give it away to the taxman! I hope she learned a valuable lesson that in life theres two things in life, one can escape, death and taxes! "
PITT RIVERS,"BOTTOM DRAWER, United Kingdom",20 minutes ago,1,1215196035,5629897,False,1,2023-11-20T12:46:43.302Z,That is a lot of sparing...
bikerjan1,"Manchester, United Kingdom",20 minutes ago,5,1215195961,1356857749443482,False,-3,2023-11-20T12:46:18.798Z,Who?
Teboy,"Brixham, United Kingdom",21 minutes ago,17,1215195923,1486546578820866,False,9,2023-11-20T12:46:07.261Z,The Spanish tax authorities are brutal towards the self- employed ( autonomous)....make a small error and your bank account is blocked...no access....but if you're rich....you can pay half what you owe. Spain currently has a socialist and far left coalition government.....you couldn't make it up!!!!
gravedigger 159,"Chambersburg, United States",21 minutes ago,9,1215195913,1454361526552802,False,9,2023-11-20T12:46:05.546Z,Sweetheart deals like that are for the rich and famous. Mere mortals who do the same thing in the thousands instead of millions don't get treated so well. 
DavidWellington,"Bedford, United Kingdom",21 minutes ago,15,1215195843,1603832209941832,False,15,2023-11-20T12:45:42.138Z,"One rule for us and another for them.
She should be jailed "
PaDDingTONBeaR2,"Rochester NY, United States",21 minutes ago,11,1215195791,1361306887625492,False,11,2023-11-20T12:45:19.398Z,"One rule for working class a different rule if you're a millionaire. So she bought herself outta jail, shouldn't be allowed to be able to do that."
Chaz73,"Huddersfield, United Kingdom",21 minutes ago,10,1215195779,1634056500843332,False,2,2023-11-20T12:45:17.342Z,"I wonder how many on here slagging her off don't pay tax on their benefits? Or should it be there benefits seeing as though they don't actually belong to them. There isn't anyone on the planet that wouldn't want a lower tax bill. Ever paid cash for something, been paid cash for something? You can't have a go here."
hatemail,"HARWICH, United Kingdom",18 minutes ago,0,1215196277,1418160878462301,False,0,2023-11-20T12:48:08.937Z,You're wrong some of the richest per on the planet have formed a group asking for them and those like them to be taxed more. 
Marcus-2,"London, United Kingdom",21 minutes ago,3,1215195775,1598436443531021,False,3,2023-11-20T12:45:16.408Z,I'm sure the fine is just chump change to her.
CW2020,"Warrington, United Kingdom",19 minutes ago,0,1215196147,1593156002596172,False,0,2023-11-20T12:47:25.134Z,I doubt that very much.
S_34_1987,"Bedfordshire , United Kingdom",22 minutes ago,8,1215195699,1623141836841091,False,8,2023-11-20T12:44:44.808Z,Why is she grinning!?
Dulchie,"The REPUBLIC of, Ireland",22 minutes ago,20,1215195597,1547578496292001,False,14,2023-11-20T12:44:09.705Z,Innocent people don't sign settlement cheques.
hatemail,"HARWICH, United Kingdom",18 minutes ago,0,1215196459,1418160878462301,False,0,2023-11-20T12:49:02.899Z,"Certainly not for 21.5 million, what sort of example is that giving to her children?"
Symphony Sid,"Pleasant Valley, United States",22 minutes ago,11,1215195595,1685145797196382,False,11,2023-11-20T12:44:09.365Z,Her lips did lie
dmodmo,"UK, United Kingdom",22 minutes ago,8,1215195589,1697195720463031,False,8,2023-11-20T12:44:09.053Z,She can afford it. 
MrPotatobutt,"Quahog R. I., United States",23 minutes ago,12,1215195567,1663759298500822,False,6,2023-11-20T12:43:56.325Z,"amazing how dumb rich people are, hire a friggen accountant"
Ben_8nyc8,"New York, United States",23 minutes ago,13,1215195545,1696506943329992,False,11,2023-11-20T12:43:48.698Z,Her voice is annoying. 
hitsv,"London, United Kingdom",23 minutes ago,12,1215195507,1534601780456061,False,12,2023-11-20T12:43:35.006Z,"Nice, just pay the fine and avoid prison. "
ameremortal,"london, United Kingdom",23 minutes ago,0,1215195475,1674582650168971,False,0,2023-11-20T12:43:26.752Z,Was it Sharika's urika moment
MrPotatobutt,"Quahog R. I., United States",23 minutes ago,8,1215195445,1663759298500822,False,6,2023-11-20T12:43:13.988Z,no one is exempt from the tax man
dmodmo,"UK, United Kingdom",21 minutes ago,4,1215195773,1697195720463031,False,4,2023-11-20T12:45:15.228Z,Plenty in the UK are. They off-shore all their money in the Cayman Islands...the UK government doesn't have the balls to chase them. 
Bob Zyerunkle,"East Anglia, United Kingdom",24 minutes ago,5,1215195409,1646497740421792,False,5,2023-11-20T12:43:05.583Z,Why are there no Brits caught up in this?
MrPotatobutt,"Quahog R. I., United States",22 minutes ago,0,1215195723,1663759298500822,False,0,2023-11-20T12:44:54.238Z,make sense
dmodmo,"UK, United Kingdom",21 minutes ago,1,1215195823,1697195720463031,False,1,2023-11-20T12:45:33.120Z,Yet! 
KHEssex,"Essex, United Kingdom",24 minutes ago,38,1215195275,1492708548883714,False,36,2023-11-20T12:42:21.287Z,So rich people can avoid prison by paying money.
toodaloo,"Poole, United Kingdom",22 minutes ago,2,1215195651,1585474805828872,False,2,2023-11-20T12:44:23.042Z,No prison for the rich
Stella Estella ,"Out there somewhere, United Kingdom",25 minutes ago,38,1215195221,1391198012226373,True,34,2023-11-20T12:42:06.459Z,She's innocent yet paid the 15m in owed taxes and more to avoid jail doesn't sound too innocent really
Mostly Tolerant,"Middletown, Canada",25 minutes ago,20,1215195143,1464303481599885,False,20,2023-11-20T12:41:37.392Z,Wow that is a big chunk of change. Really going to put a dent in her assets. The taxation dept. will always get you in the end.
Rob,"In, Christmas Island",20 minutes ago,0,1215196039,5021211,False,0,2023-11-20T12:46:44.187Z,She doesn't seem overly upset about it.
Malibu419,"Albufeira, Portugal",25 minutes ago,24,1215195113,1615731212125972,False,22,2023-11-20T12:41:24.177Z,"Money talks, she is not alone in trying to pay less tax. Take Sir David for example."
Emma,"Geneva, Switzerland",26 minutes ago,30,1215195013,2044133,False,2,2023-11-20T12:40:50.897Z,"Should have locked her up.
"
Steven Poyner,"Birmingham, United Kingdom",26 minutes ago,30,1215195009,1666438523608402,False,26,2023-11-20T12:40:48.994Z,Do you actually think Shakira does her own  taxes its her accountants  
Omigosh,Etherville,22 minutes ago,0,1215195685,4562433,False,0,2023-11-20T12:44:39.424Z,So will she be suing her accountants? Don't hold your breath while you wait.
dmodmo,"UK, United Kingdom",20 minutes ago,0,1215195969,1697195720463031,False,0,2023-11-20T12:46:22.946Z,But they won't go to prison.....she will. So she shouldn't have taken their illegal advice. 
Angel of,"The North, United Kingdom",27 minutes ago,31,1215194923,1409001939585782,False,27,2023-11-20T12:40:08.560Z,"Those hips don't lie, but her account did..."
The Warrior Princess,"London, United Kingdom",27 minutes ago,14,1215194855,1611828417455181,False,10,2023-11-20T12:39:48.034Z,"Cue the 'hips dont lie""  puns.  Two tier justice."
Liz Molton,"Manchester, United Kingdom",27 minutes ago,6,1215194771,1391804025452113,False,6,2023-11-20T12:39:10.798Z,I'm surprised as I learned from her that hips don't lie.
Tina Terrific,"Mission Beach QLD, Australia",28 minutes ago,38,1215194737,1673341154088101,False,4,2023-11-20T12:38:57.101Z,She should not have been allowed to do a 'deal'..she got off easy 6million pounds is a drop in the ocean for her- she's a cheap liar- I'll never support her- she should have served at least 6 months jail to teach her a lesson and her kids could be taught not to behave like their mother...lousy legal system.
Alexander9452,"london, United Kingdom",25 minutes ago,19,1215195187,1393328763516152,False,17,2023-11-20T12:41:51.407Z,Everyone gets offered the chance to do a deal and pay a fine in tax cases. Why should she be treated differently? Just because she is a celebrity and you want to see some public humiliation? That is not how the law works. 
eatacookie,"Milan, Italy",28 minutes ago,20,1215194721,1574252190159941,False,14,2023-11-20T12:38:52.516Z,Rules can be bent when you are rich. Ask Manchester City.
Ronnie-the-king,"Bennidorm and  Grantham, Spain",28 minutes ago,14,1215194681,1700300581393582,False,-4,2023-11-20T12:38:41.709Z,They should make her go to prison so the queen B can lezzzie her up.
Kirsty Karrott,"Isle of Wight, United Kingdom",29 minutes ago,29,1215194525,1485467491325094,False,27,2023-11-20T12:37:34.435Z,Definently one rule for the rich and another for the rest of us.
Alexander9452,"london, United Kingdom",22 minutes ago,4,1215195641,1393328763516152,False,2,2023-11-20T12:44:21.588Z,No it's not. Everyone gets the chance to pay a fine as a punishment in the settlement of tax cases. If you can get the tax revenue owed and additional monies in the form of fines that makes everyone happy and no one is looking to send people to jail at the taxpayers expense when they don't have to.
Obj. 261,"Landdownunder, Australia",29 minutes ago,13,1215194495,1699567966560471,False,7,2023-11-20T12:37:23.104Z,"I know it's petty of me, but I can't help smile at this. "
Boomer1961,"Wherever, United Kingdom",30 minutes ago,17,1215194429,1620168847646151,False,9,2023-11-20T12:37:01.270Z,"no deal, make her pay full amount and send her to prison"
Angel of,"The North, United Kingdom",24 minutes ago,0,1215195371,1409001939585782,False,0,2023-11-20T12:42:54.197Z,"I didn't read the story, but the headline suggests she paid the full amount and a fine."
Boomer1961,"Wherever, United Kingdom",30 minutes ago,21,1215194379,1620168847646151,False,21,2023-11-20T12:36:39.910Z,"most, or all, celebs and football players and the rich in general all avoid tax, and if they paid their taxes theyd still be rich beyond belief and may not have to keep doing charity events for us all to dig deep to show just how they care"
harrietwoo,"London, United Kingdom",30 minutes ago,10,1215194351,1595251478354081,False,8,2023-11-20T12:36:32.165Z,The Spanish government raid bank accounts on a regular basis and take tax on money they perceive you have earned and not declared - ( I know a few people this has happened to and it take months to get any of it back) 
Briang50,"London, United Kingdom",30 minutes ago,12,1215194313,1599782769517292,False,-6,2023-11-20T12:36:20.071Z,Maybe the reason the football player left her was because he didn't want to be associated with a criminal. 
Drukkerman,"Houston, United States",30 minutes ago,10,1215194281,1352303737010941,False,0,2023-11-20T12:36:09.193Z,Nasty anti-Semite. Should have received jail time.
Hillbilly Girl,"Southeastern USA, United States",32 minutes ago,28,1215194131,1479513621405794,False,20,2023-11-20T12:34:59.724Z,"Her statement is a bit obnoxious, especially the bit where she uses her kids as an excuse to settle. She tried to game the system and they said nah, not today. "
ZippyandBungle77,"Liverpool, United Kingdom",32 minutes ago,25,1215194129,1638516098653781,False,9,2023-11-20T12:34:59.676Z,The rich make me sick
JimblobYork,"York, United Kingdom",32 minutes ago,22,1215194121,1631163068651341,False,10,2023-11-20T12:34:57.511Z,The criminal should have to serve the three years as a deterrent.
JimblobYork,"York, United Kingdom",32 minutes ago,18,1215194045,1631163068651341,False,6,2023-11-20T12:34:31.981Z,The criminal should have the serve the three years as a deterrent.
nickcred,"Basingstoke, United Kingdom",33 minutes ago,32,1215193935,1393418064756841,False,28,2023-11-20T12:33:57.146Z,"She had what are supposed to be world class advisors on tax and finance, as usual they will walk away scot free leaving their clients to pay , if she was advised incorrectly she should sue them, but they will have a get out clause in their terms for sure"
Frannis1985,"Munster, Ireland",33 minutes ago,20,1215193931,1573176580353051,False,14,2023-11-20T12:33:55.356Z,Her hips don't lie but the rest of her does 
Generation-X,"Nice part of London, United Kingdom",33 minutes ago,24,1215193911,6318432,True,12,2023-11-20T12:33:47.485Z,"Makes me sick when people like this, who earn millions and this much money, still feel the need to dodge paying tax when not starving.   Her personal and financial life is falling apart and her ex husband with whom she dumped for a footballer, is probably having the last laugh. "
Obj. 261,"Landdownunder, Australia",29 minutes ago,5,1215194597,1699567966560471,False,5,2023-11-20T12:38:02.186Z,"To be fair, her ex-husband is a total tool. "
realistic realism,"Glasgow, United Kingdom",33 minutes ago,29,1215193871,1579699942677281,False,27,2023-11-20T12:33:32.652Z,Only the MIDDLE pay Tax
scout,"thinking out loud, United Kingdom",33 minutes ago,1,1215193857,3411397,False,1,2023-11-20T12:33:28.844Z,there will be any more like her .
thought so,"manchester, United Kingdom",34 minutes ago,18,1215193795,1554737748133331,False,12,2023-11-20T12:33:05.586Z,Greedy woman.....oiks would have to do jail time.
JamesLloydy,"London, United Kingdom",34 minutes ago,7,1215193793,5560289,True,5,2023-11-20T12:33:05.271Z,"Er garbage, they have seen you on trial, there you are - a picture and video in front of me, of you sitting there, in the dock, on trial, guilty but failing to own your crime. Top role model right there."
JoshGroban,"Bournemouth, United Kingdom",34 minutes ago,16,1215193763,1567329490417341,False,14,2023-11-20T12:32:50.295Z,"Amazing how wealthy high profile people manage to avoid jail, Maxwell excepted.."
Tnoble1,"Newcastle upon Tyne, United Kingdom",34 minutes ago,14,1215193699,1528175719438551,False,14,2023-11-20T12:32:29.671Z,So the hips do lie!
Kathleen51,"LOUGHBOROUGH, United Kingdom",34 minutes ago,14,1215193663,1573899085071291,False,14,2023-11-20T12:32:10.740Z,Maybe they should investigate all so called celebrities plenty of them out there. 
His Lord Fishcake,"Bury, United Kingdom",35 minutes ago,8,1215193629,1561563846023911,False,6,2023-11-20T12:32:01.877Z,"""I'm on tonight
You know my payslips don't lie
And I am starting to feel you, boy"""
Not a good day today,"Gloucestershire, United Kingdom",35 minutes ago,29,1215193613,1681062821987881,False,25,2023-11-20T12:31:53.897Z,"Obscene amounts of money these people earn, but it's never enough, pure greed."
GraceDennis,"Glasgow, United Kingdom",35 minutes ago,7,1215193593,1647069599052081,False,5,2023-11-20T12:31:48.800Z,Her hips lied
Tomice,"Bexhill, United Kingdom",35 minutes ago,23,1215193535,1583272805519512,False,21,2023-11-20T12:31:26.589Z,"It's mad that if you are not mega healthy, you have jail term. If you are, you can just pay it off like we would a parking fine. No wonder celebs do all these crazy illugal activities... there is no real justice at all. "
PeteMUFC2021,"London, United Kingdom",35 minutes ago,22,1215193509,1628450366839872,False,22,2023-11-20T12:31:12.257Z,Different laws for the rich. 
MrTone,"Newcastle, United Kingdom",36 minutes ago,23,1215193451,1443639764790201,False,21,2023-11-20T12:30:49.161Z,Sheer dirty GREED
waddy196699,"lancashire, United Kingdom",36 minutes ago,32,1215193403,2708439,False,30,2023-11-20T12:30:36.286Z,With a net worth of 300 million  the need for greed see her using off shore tax avoidance schemes 
C. Emily Play,"Alnwick, United Kingdom",36 minutes ago,21,1215193373,1610444815990671,False,21,2023-11-20T12:30:26.176Z,"Al Capone was jailed for less. Maximum sentence and ""Hard Time "" too. (They couldn't get anything else to stick).  I think ""I'm as innocent as a new born babe, but am heroically taking a rap because I'm thinking of my children"" is an especially nice touch. Her lawyers/scriptwriters are worth every penny."
Punny Poet,Absurdium,36 minutes ago,15,1215193353,1676641241950201,False,15,2023-11-20T12:30:19.033Z,"Whenever, wherever, she's meant to dodge the tax pressure."
dvata69,"kent, United Kingdom",37 minutes ago,30,1215193201,1377789022356533,False,24,2023-11-20T12:29:25.700Z,Not so innocent shakira
